PLAYER;WIN;SP;2PA;2P%;3PA;3P%;FTA;FT%;ORB;DRB;AST;STL;BLK;TOV;PF;PTS;+/-;;;;;;
DONCIC;1;2408;16;0,438;11;0,455;10;0,800;4;6;3;2;0;3;3;37;-1;;;;;;
DONCIC;1;2426;15;0,267;12;0,167;5;0,800;0;10;16;1;0;4;0;18;5;;;;;;
DONCIC;1;2080;13;0,538;10;0,400;12;0,667;1;8;8;4;0;4;2;34;-3;;;;;;
DONCIC;1;2471;13;0,615;11;0,182;8;0,875;2;10;13;1;1;4;3;29;10;;;;;;
DONCIC;1;1901;10;0,600;8;0,500;5;0,800;1;10;6;2;0;4;4;28;18;;;;;;
DONCIC;1;2452;6;0,333;8;0,500;14;0,714;0;9;12;2;0;5;2;26;6;;;;;;
DONCIC;1;2112;14;0,643;16;0,563;5;0,400;0;12;7;2;0;4;1;47;12;;;;;;
DONCIC;0;2352;11;0,545;11;0,455;4;0,750;1;11;11;0;0;5;1;30;9;;;;;;
DONCIC;1;2222;10;0,200;15;0,400;3;1,000;0;12;8;2;1;5;3;25;21;;;;;;
DONCIC;1;2725;11;0,727;10;0,400;9;1,000;2;7;12;0;2;7;5;37;20;;;;;;
DONCIC;1;2085;8;0,625;17;0,471;7;0,714;2;10;10;0;1;4;2;39;22;;;;;;
DONCIC;1;2159;8;0,625;15;0,267;8;0,875;1;8;9;0;0;3;4;29;7;;;;;;
JAMES;0;1740;12;0,750;4;0,250;1;0,000;1;7;5;1;0;0;1;21;7;;;;;;
JAMES;1;2100;9;0,667;5;0,200;8;0,750;1;7;9;2;2;5;1;21;22;;;;;;
JAMES;0;2345;11;0,727;8;0,375;6;0,333;0;15;8;0;0;8;2;27;-5;;;;;;
JAMES;1;1967;11;0,455;6;0,333;4;0,750;0;3;4;3;1;5;0;19;5;;;;;;
JAMES;1;2549;11;0,818;8;0,500;10;0,500;0;12;7;1;2;4;3;35;6;;;;;;
JAMES;0;2113;10;0,600;5;0,400;7;0,857;1;8;5;3;0;3;1;24;12;;;;;;
JAMES;0;2244;19;0,684;4;0,000;4;1,000;0;4;3;1;3;5;4;30;6;;;;;;
JAMES;0;1632;11;0,636;2;0,000;5;0,800;1;5;2;0;0;3;1;18;-24;;;;;;
JAMES;1;2183;13;0,615;4;0,750;11;0,636;1;10;6;1;1;4;1;32;2;;;;;;
JAMES;1;1359;5;0,600;6;0,500;2;0,500;0;9;6;1;0;4;1;16;15;;;;;;
JAMES;0;2118;8;0,750;7;0,429;8;0,875;2;8;12;4;1;6;1;28;0;;;;;;
JAMES;1;2072;13;0,615;9;0,556;6;0,667;0;5;9;2;0;3;3;35;18;;;;;;
JAMES;1;2375;14;0,857;5;0,400;9;0,778;1;5;8;3;0;2;0;37;2;;;;;;
JAMES;1;1441;5;0,600;5;0,600;2;1,000;1;6;9;0;0;2;0;17;14;;;;;;
JAMES;0;2161;10;0,500;9;0,444;7;0,571;2;7;7;0;0;3;0;26;7;;;;;;
JAMES;1;2135;14;0,500;9;0,111;7;0,714;1;5;6;2;2;4;1;22;2;;;;;;
JAMES;0;1772;11;0,636;1;1,000;2;0,500;0;0;5;1;1;1;0;18;-30;;;;;;
JAMES;1;1722;13;0,538;6;0,333;5;1,000;2;6;3;0;0;1;0;25;26;;;;;;
JAMES;0;2103;4;0,750;8;0,500;4;0,750;2;10;6;1;1;5;1;21;-18;;;;;;
JAMES;1;2122;13;0,538;4;0,000;5;0,400;0;4;7;1;1;5;0;16;16;;;;;;
JAMES;1;2410;21;0,476;4;0,500;6;0,833;3;5;11;5;0;2;3;31;12;;;;;;
JAMES;1;1352;8;0,625;4;1,000;8;1,000;0;5;8;0;0;0;1;30;36;;;;;;
JAMES;0;2407;19;0,579;8;0,375;3;0,667;2;6;9;3;1;4;1;33;-4;;;;;;
JAMES;0;2156;11;0,455;6;0,333;10;0,700;2;5;14;2;0;2;1;23;-28;;;;;;
JAMES;0;2345;15;0,533;8;0,250;4;0,750;1;10;11;1;0;2;1;25;-13;;;;;;
JAMES;0;2219;15;0,600;3;0,333;4;1,000;2;8;9;1;2;5;0;25;-11;;;;;;
JAMES;1;2238;15;0,533;5;1,000;9;1,000;2;5;7;2;2;3;0;40;10;;;;;;
JAMES;0;2207;12;0,333;2;0,500;6;0,833;0;9;8;0;0;3;1;16;-11;;;;;;
JAMES;1;1483;8;0,625;5;0,400;1;1,000;0;4;11;0;0;3;0;17;1;;;;;;
JAMES;0;2326;17;0,529;4;0,250;7;0,714;0;3;6;3;1;1;2;26;-5;;;;;;
JAMES;0;2201;17;0,529;7;0,429;8;0,875;0;5;8;0;1;4;2;34;-11;;;;;;
JAMES;0;2291;12;0,500;6;0,000;0;0,000;0;6;9;0;0;2;2;12;-20;;;;;;
JAMES;0;2330;15;0,467;9;0,444;10;0,600;2;3;7;5;0;4;0;32;-8;;;;;;
JAMES;1;2287;16;0,625;3;0,333;3;0,667;1;7;7;1;0;4;2;25;5;;;;;;
JAMES;1;2113;12;0,500;5;0,400;6;0,667;0;5;12;1;1;3;0;22;0;;;;;;
JAMES;0;1456;7;0,429;4;0,000;7;0,571;0;5;9;1;0;4;1;10;-25;;;;;;
JAMES;1;2335;18;0,611;2;0,500;1;0,000;0;7;6;0;0;5;1;25;2;;;;;;
JAMES;1;1982;12;0,583;7;0,429;2;1,000;1;7;8;1;0;3;1;25;20;;;;;;
JAMES;0;2024;17;0,412;5;0,400;5;0,800;5;6;5;0;0;4;1;24;-13;;;;;;
JAMES;1;1860;8;0,625;8;0,375;10;0,900;0;5;5;0;0;3;2;28;28;;;;;;
JAMES;1;2142;15;0,467;4;0,750;2;1,000;0;4;12;2;0;5;2;25;14;;;;;;
JAMES;1;2860;21;0,571;4;0,500;6;1,000;1;19;12;0;0;3;2;36;-6;;;;;;
JAMES;0;2207;10;0,700;5;0,400;8;0,375;0;6;10;1;1;1;4;23;-11;;;;;;
